age_months,age_years,lx
1165,97.0833,1362
1166,97.1667,1322
1167,97.25,1283
1168,97.3333,1244
1169,97.4167,1205
1170,97.5,1166
1171,97.5833,1126
1172,97.6667,1087
1173,97.75,1048
1174,97.8333,1008
1175,97.9167,969
1176,98.0,930
1177,98.0833,902
1178,98.1667,874
1179,98.25,846
1180,98.3333,818
1181,98.4167,790
1182,98.5,762
1183,98.5833,734
1184,98.6667,706
1185,98.75,678
1186,98.8333,650
1187,98.9167,622
1188,99.0,594
1189,99.0833,575
1190,99.1667,556
1191,99.25,537
1192,99.3333,518
1193,99.4167,499
1194,99.5,480
1195,99.5833,460
1196,99.6667,441
1197,99.75,422
1198,99.8333,403
1199,99.9167,384
1200,100.0,365
